Des'n  AbsMag  G    Epoch M         Perihelion      Node       Incl.  e          n            a          U Reference #Obs  #Opp    Arc    rms  Perts
00029    5.97  0.15 K25BL 145.10816   61.90576  356.25475    6.07744  0.0733503  0.24145814   2.5541211  0 MPO925791  2425  98 1855-2025 0.81 M-v 3Ek 0000 Amphitrite
00030    7.57  0.15 K25BL 319.52134   87.19213  307.39646    2.09370  0.1267294  0.27088415   2.3656309  0 E2025-V34  4083  82 1860-2025 0.73 M-v 3Ek 0000 Urania
00031    6.81  0.15 K25BL 147.89313   61.97074   30.79590   26.31223  0.2159207  0.17533281   3.1615053  0 MPO950947  3351  66 1860-2025 0.76 M-v 3Ek 0000 Euphrosyne
00032    7.75  0.15 K25BL 242.00563  337.85852  220.35660    5.52082  0.0813067  0.23675327   2.5878478  0 E2025-V34  7946  77 1864-2025 0.51 M-v 3Ek 0000 Pomona
00033    8.47  0.15 K25BL 107.06975  338.82786    8.21189    1.85203  0.3332669  0.20227388   2.8741505  0 E2025-V50  4986  76 1856-2025 0.76 M-v 3Ek 0000 Polyhymnia
00034    8.76  0.15 K25BL 305.20904  329.41379  184.29422    5.49588  0.1067840  0.22365311   2.6879391  0 E2025-V50 10261  74 1864-2025 0.55 M-v 3Ek 0000 Circe
00035    8.68  0.15 K25BL 309.11721  215.43996  352.90955    7.86607  0.2172633  0.18914110   3.0056987  0 E2025-V50  6689  72 1860-2025 0.69 M-v 3Ek 0000 Leukothea
00036    8.57  0.15 K25BL  99.55969   47.76897  358.16300   18.37428  0.3063057  0.21675593   2.7446611  0 MPO950947  3808  58 1866-2025 0.74 M-v 3Ek 0000 Atalante
00037    7.34  0.15 K25BL 172.87172   62.30602    7.23568    3.06763  0.1747142  0.22937647   2.6430384  0 MPO950947  3776  94 1855-2025 0.78 M-v 3Ek 0000 Fides
00038    8.49  0.15 K25BL 165.76116  169.78348  295.49341    6.95165  0.1509283  0.21700313   2.7425763  0 MPO950947  4622  67 1856-2025 0.76 M-v 3Ek 0000 Leda
00039    5.97  0.15 K25BL  93.69776  210.27868  156.84322   10.37524  0.1130636  0.21367445   2.7709859  0 E2025-V34 11775  93 1856-2025 0.50 M-v 3Ek 0000 Laetitia
00040    6.56  0.15 K25BL  80.29464  269.84324   94.15655    4.25575  0.0462893  0.28859085   2.2678501  0 E2025-V38 10300  80 1860-2025 0.55 M-v 3Ek 0000 Harmonia
00041    7.58  0.15 K25BL 288.43727   46.91596  177.61962   15.72829  0.2704420  0.21394400   2.7686580  0 E2025-V50  7113  70 1866-2025 0.61 M-v 3Ek 0000 Daphne
00042    7.70  0.15 K25BL 103.03901  237.41146   84.16707    8.51002  0.2219265  0.25799285   2.4437922  0 E2025-V38  8134  81 1856-2025 0.52 M-v 3Ek 0000 Isis
00043    7.94  0.15 K25BL 141.45122   16.18526  264.74735    3.47056  0.1681473  0.30132902   2.2034781  0 MPO950947  3510  81 1864-2025 0.78 M-v 3Ek 0000 Ariadne
00044    6.75  0.15 K25BL 349.10621  343.99369  131.47702    3.71255  0.1498777  0.26128994   2.4231907  0 MPO950947  8100  86 1864-2025 0.49 M-v 3Ek 0000 Nysa
00045    7.76  0.15 K25BL 206.55227   87.29355  147.55501    6.60564  0.0821724  0.21951887   2.7215823  0 E2025-V38 12086  79 1866-2025 0.49 M-v 3Ek 0000 Eugenia
00046    8.51  0.15 K25BL 299.75219  177.04962  181.05933    2.35132  0.1719293  0.24551898   2.5258797  0 MPO950947  5572  81 1864-2025 0.75 M-v 3Ek 0000 Hestia
00047    8.16  0.15 K25BL 174.33218  316.20622    2.69449    4.96978  0.1333141  0.20153838   2.8811390  0 E2025-V38  5580  78 1860-2025 0.74 M-v 3Ek 0000 Aglaja
